iter	Passed	Remaining
770	1269	377
771	1271	375
772	1273	373
773	1274	372
774	1276	370
775	1278	368
776	1280	367
777	1282	365
778	1283	364
779	1284	362
780	1286	360
781	1287	358
782	1288	357
783	1290	355
784	1291	353
785	1293	352
786	1295	350
787	1297	348
788	1298	347
789	1299	345
790	1301	343
791	1303	342
792	1304	340
793	1306	338
794	1307	337
795	1309	335
796	1311	333
797	1312	332
798	1314	330
799	1315	328
800	1317	327
801	1318	325
802	1320	323
803	1321	322
804	1323	320
805	1325	318
806	1326	317
807	1328	315
808	1329	313
809	1331	312
810	1332	310
811	1333	308
812	1335	307
813	1336	305
814	1338	303
815	1339	302
816	1341	300
817	1343	298
818	1344	297
819	1345	295
820	1347	293
821	1348	291
822	1349	290
823	1351	288
824	1352	286
825	1354	285
826	1356	283
827	1357	282
828	1359	280
829	1360	278
830	1361	276
831	1363	275
832	1364	273
833	1366	271
834	1368	270
835	1369	268
836	1371	267
837	1372	265
838	1374	263
839	1375	262
840	1377	260
841	1378	258
842	1379	256
843	1381	255
844	1382	253
845	1384	252
846	1386	250
847	1387	248
848	1389	247
849	1390	245
850	1392	243
851	1394	242
852	1395	240
853	1397	238
854	1399	237
855	1401	235
856	1402	234
857	1404	232
858	1405	230
859	1407	229
860	1408	227
861	1410	225
862	1411	224
863	1413	222
864	1414	220
865	1416	219
866	1417	217
867	1419	215
868	1420	214
869	1421	212
870	1423	210
871	1424	209
872	1425	207
873	1427	205
874	1429	204
875	1430	202
876	1432	200
877	1433	199
878	1434	197
879	1436	195
880	1437	194
881	1439	192
882	1440	190
883	1442	189
884	1443	187
885	1445	185
886	1446	184
887	1448	182
888	1449	180
889	1450	179
890	1451	177
891	1453	175
892	1454	174
893	1456	172
894	1457	171
895	1459	169
896	1461	167
897	1463	166
898	1464	164
899	1465	162
900	1466	161
901	1468	159
902	1469	157
903	1470	156
904	1472	154
905	1474	153
906	1476	151
907	1477	149
908	1478	148
909	1480	146
910	1481	144
911	1483	143
912	1484	141
913	1485	139
914	1487	138
915	1488	136
916	1489	134
917	1491	133
918	1492	131
919	1493	129
920	1494	128
921	1496	126
922	1497	124
923	1498	123
924	1500	121
925	1501	120
926	1503	118
927	1504	116
928	1506	115
929	1507	113
930	1509	111
931	1510	110
932	1511	108
933	1512	106
934	1514	105
935	1515	103
936	1518	102
937	1519	100
938	1521	98
939	1522	97
940	1524	95
941	1525	93
942	1526	92
943	1528	90
944	1529	89
945	1531	87
946	1533	85
947	1534	84
948	1536	82
949	1537	80
950	1538	79
951	1540	77
952	1541	76
953	1543	74
954	1544	72
955	1546	71
956	1547	69
957	1548	67
958	1550	66
959	1551	64
960	1553	63
961	1554	61
962	1556	59
963	1557	58
964	1558	56
965	1560	54
966	1562	53
967	1563	51
968	1565	50
969	1566	48
970	1568	46
971	1570	45
972	1571	43
973	1573	41
974	1575	40
975	1576	38
976	1578	37
977	1579	35
978	1581	33
979	1583	32
980	1584	30
981	1585	29
982	1587	27
983	1588	25
984	1590	24
985	1592	22
986	1593	20
987	1594	19
988	1596	17
989	1597	16
990	1599	14
991	1600	12
992	1601	11
993	1603	9
994	1605	8
995	1606	6
996	1608	4
997	1609	3
998	1610	1
999	1612	0
